model_name,method,gpu_model,number_nodes,number_gpus,tokens_per_sample,batch_size,dataset_tokens_per_second,train_runtime,is_valid
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,1.0,4096.0,1.0,5964.5166,126.2355,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,1.0,4096.0,2.0,6438.3182,126.0758,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,1.0,4096.0,4.0,6875.0355,129.2725,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,1.0,4096.0,8.0,7110.6105,183.5384,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,2.0,4096.0,2.0,10683.0822,122.3579,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,2.0,4096.0,4.0,12691.3835,125.7963,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,2.0,4096.0,8.0,13581.2107,125.8504,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,2.0,4096.0,32.0,14220.5372,378.655,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,4.0,4096.0,4.0,20930.175,122.8713,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,4.0,4096.0,8.0,24228.121,126.1708,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,4.0,4096.0,32.0,27095.9338,193.8861,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,4.0,4096.0,64.0,28522.1863,374.931,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,8.0,4096.0,8.0,42773.7463,125.9598,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,8.0,4096.0,32.0,54078.054,125.9089,1.0
granite-3.1-2b,full,NVIDIA-A100-SXM4-80GB,1.0,8.0,4096.0,64.0,54897.6914,184.9057,1.0
granite-3.1-2b,lora,NVIDIA-A100-SXM4-80GB,1.0,1.0,8192.0,1.0,5954.1217,121.4445,1.0
granite-3.1-2b,lora,NVIDIA-A100-SXM4-80GB,1.0,1.0,8192.0,2.0,6425.3424,124.4345,1.0
granite-3.1-2b,lora,NVIDIA-A100-SXM4-80GB,1.0,1.0,8192.0,4.0,6360.8855,200.2076,1.0
granite-3.1-2b,lora,NVIDIA-A100-SXM4-80GB,1.0,1.0,8192.0,8.0,6722.9939,389.5061,1.0
granite-3.1-2b,lora,NVIDIA-A100-SXM4-80GB,1.0,2.0,8192.0,2.0,10723.3333,123.204,1.0
granite-3.1-2b,lora,NVIDIA-A100-SXM4-80GB,1.0,2.0,8192.0,4.0,12296.6659,127.1808,1.0
